fold,gamma,theta_sig_momentum,theta_sig_liquidity,theta_sig_volatility,theta_sig_value,theta_sig_quality,theta_sig_dead
0,0.8095252482194588,0.3304495153105527,0.1919478066822182,0.21420597022638582,0.1336514244169512,0.09943465907637568,0.030310624287516363
1,0.8419357609433386,0.3370356292449929,0.18138084023379972,0.2244200622432993,0.13846278468935755,0.10155101876615479,0.017149664822395657
2,0.8420300731911546,0.3680216629916296,0.1762213977916535,0.20452130368808175,0.12350230854901074,0.10095788000995566,0.026775446969668805
3,0.8864153057566816,0.37225163769611924,0.19814267636655056,0.21323426504598395,0.09032586782090561,0.10917373600235714,0.01687181706808341
4,0.8047868424689777,0.3527483082887678,0.19971768424096312,0.2077737653089497,0.11194464197505277,0.12489781811530445,-0.0029177820709620885
5,0.8287948846818788,0.34691371226291295,0.19330044062637972,0.21153013020834785,0.09914584086921534,0.12315096960818962,0.025958906424954516
6,0.8572979008187824,0.33908890135487085,0.21082693279664158,0.22434975071032234,0.0997505312894449,0.10676210891945648,0.019221774929263788
7,0.8610628804253806,0.317110983707029,0.20948902188593832,0.21812669767761272,0.0983392669149262,0.10781747813033697,0.049116551684156746
8,0.854705283161978,0.3040149694724304,0.19257387394754336,0.21807112526538697,0.10004272568080447,0.12774048956553666,0.05755681606829807
9,0.8355390787013857,0.3137580447128828,0.18548212581115972,0.22225145934370538,0.09637237805881163,0.13478615516684792,0.04734983690659259
10,0.8394774039055125,0.3174324671570691,0.179311670188705,0.23080634628286234,0.0887516429482788,0.13534499098681368,0.04835288243627104
11,0.8057365004772523,0.31256091164299604,0.17637648479086795,0.23962955065239336,0.07571491440939448,0.14105967017432683,0.05465846833002122
12,0.8577622314346686,0.3165144942453895,0.1769049206264799,0.2391393502481471,0.08081874283141212,0.12959342752600567,0.057029064522565655
13,0.8622056275374734,0.31148589384367553,0.18931832304239793,0.23642680639553357,0.07655290507426186,0.1172859522847986,0.0689301193593325
